,Band,Song,Player,Technique,Difficulty,Score
4161,Nathan Baun-Hulstein,A,Adam Clean,['Acoustic Guitar (nylon)'],Intermediate,5/8
4162,Metallica,That Was Just Your Life,James Vocals,['Soprano Sax'],,
4163,Bon Jovi,Livin' On A Prayer,David Bryan,"['Keyboard', 'SynthStrings 1']",,
4164,Apulanta,Trauma,Toni,['Distortion Guitar 1'],Beginner,2/8
4165,Lorikk,Fistfucking Jimmy Neutron's Parents,Track 1,['Distortion Guitar'],Intermediate,4/8
4166,natsu_shiba,Sweep picking  and Tapping,Rhytmique,['Distortion Guitar'],Intermediate,4/8
4167,Continuous Atrocities Against The Condemned Species For The Purpose Of Self-Preservation From The Inevitable Consequences Of Playing God Infront The Sights Of Nature And Existance,Utter Sadness And Misery Reigns Among The Citizens Of A Developing Country As Their Leaders,Distortion Guitar 2,[],Advanced,8/8
4168,Marshall Crutcher,Alice: Madness Returns Theme,Acoustic Grand Piano,[],,
4169,Dragonforce,The Game,Rythm Guitar 2,['Distortion Guitar'],Intermediate,4/8
4170,Osmium V,The Messiah Live Ver.,Sivert F.,['Distortion Guitar'],Beginner,2/8
4171,Metallica,Nothing Else Matters (D Standard),Jason Backing Vocals,['Lead 6 (voice)'],,
4172,Osmium V,Diminished Mind Live Ver.,Distortion Guitar,[],Advanced,8/8
4173,Slaver,Excursion to Dranglick,Bright Acoustic Piano,[],,
4174,Misc. Computer Games,Team Fortress 2 - Seduce Me!,Alto Saxophone 1,['Alto Sax'],,
4175,Leonjee's Tests,Test,Serj Tankian,"['Vocals', 'Baritone Sax']",,
4176,Pierced Hole,Mordas,oLeG KaLiNiN,['Distortion Guitar'],Advanced,6/8
4177,Dimmu Borgir,Progenies of the great apocolypse,Keyboard Choir,['Choir Aahs'],,
4178,Beyond Creation,The Aura,Rhythm,['Distortion Guitar'],Advanced,6/8
4179,Test,123123123,Track 1,['Distortion Guitar'],Advanced,7/8
4180,Tommy Sparks,Smooth Criminal,Strings A,['String Ensemble 1'],,
4181,Ht,RR Performance STH_hard,John Paul Jones,"['Honher Electra RH', 'Electric Piano 1']",,
4182,Az,proba galincho,Track 4,['Acoustic Grand Piano'],,
4183,Galin - Probaseks,galincho,Track 4,['Acoustic Grand Piano'],,
4184,Az,Proba75,Track 4,['Acoustic Grand Piano'],,
4185,Flux,Flux no Rekishi,Acoustic Grand Piano,[],,
4186,Mr Bungle,Girls Of Porn,Saxophone : Tenor in C,['Tenor Sax'],,
4187,Derek Ryan Band,song1,Ryan,['Distortion Guitar'],Intermediate,4/8
4188,Vitao,Innocent Primeval Breaker - Ys Seven,Piano 1,['Acoustic Grand Piano'],,
4189,Popol Band,abab,Bells,['Tinkle Bell'],,
4190,Order Of Sin( Best Band In Universe),koc 2,violin,['String Ensemble 1'],,
4191,Dimmu Borgir,Progenies of the Great Apocalypse (Piano ver.),Acoustic Grand Piano,[],,
4192,Slaver,MetalbreatH,Bright Acoustic Piano,[],,
4193,South Park,Montage,Right Hand,['Lead 2 (sawtooth)'],,
4194,Blink-182,Anthem Part 2,Backing Vocals,['Voice Oohs'],,
4195,Mm85768m67,",,6976,97",Track 4,['Bright Acoustic Piano'],,
4196,Linkin Park,Forgotten,Lead Synthesizer,['Lead 8 (bass + lead)'],,
4197,Tom Donahue,Lisztomania,Synth 1,['Pad 2 (warm)'],,
4198,As I Lay Dying,This Is Who We Are,Piano (Phil Sgrosso),['Acoustic Grand Piano'],,
4199,Decharot,Lighthouse,Artun Ereren (Rhythm),['Distortion Guitar'],Beginner,2/8
4200,Aaron Montalvo,Mi Corazón Encantado (2021 Piano),Piano (L. H.),['Acoustic Grand Piano'],,
4201,Osmium V,The Messiah,Rhythm,['Distortion Guitar'],Beginner,2/8
4202,Merten,Fear,Track 3,['Distortion Guitar'],Intermediate,4/8
4203,Кселруб,sntex,Synthesizer,['Pad 2 (warm)'],,
4204,Flux,tab - 208,Accords,['Acoustic Grand Piano'],,
4205,My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),Jamie Muhoberac,"['Synthesizer', 'Pad 3 (polysynth)']",,
4206,My Chemical Romance,Teenagers,Gerard Way,['Tenor Sax'],,
4207,Slaver,Before the All World,Reverse Cymbal,[],,
4208,Seksiseppo02,Riff30,Aleksi,['Distortion Guitar'],Intermediate,3/8
4209,Seksiseppo02,Riff29,Aleksi,['Distortion Guitar'],Advanced,7/8
4210,Dream Theater,IV. The Test That Stumped Them All,John Petrucci | Gtr. 1,['Distortion Guitar'],Advanced,7/8
4211,Metallica,Enter Sandman (main riffs and solo),James Hetfield (Vocals),['Baritone Sax'],,
4212,Decharot,The Harvest III,Jeremi Tran (Lead),['Distortion Guitar'],Intermediate,4/8
4213,Xavlegbmaofffassssitimiwoamndutroabcwapwaeiippohfffx,Veil of Moonlight (Intro),Electric Guitar (clean),[],Intermediate,3/8
4214,Dikie Vidrochki,House of MEMES,Acoustic Piano (Staff 2),['Acoustic Grand Piano'],,
4215,Through The Eyes Of The Dead,A Catastrophe Of Epic Proportions,Guitar III,['Distortion Guitar'],Intermediate,4/8
4216,Fredguitarist,Collection of Riffs by Fred,Fred (Ibanez 7 st.),['Distortion Guitar'],Intermediate,4/8
4217,Rammstein,Amerika (5.str bass),Lindemann,['Soprano Sax'],,
4218,Cum Laudes,Post-Hardcore 1,Distortion Guitar 1,[],Intermediate,3/8
4219,Misfits,Halloween,Glenn Danzig,['Voice Oohs'],,
4220,Gazette,Cassis,Acoustic Grand Piano,[],,
4221,Rattlesnake,Night,Right Guitar,['Distortion Guitar'],Intermediate,3/8
4222,Merten,You are nothing,Track 3,['Distortion Guitar'],Intermediate,3/8
4223,Avantasia,Ghost In The Moon,Vocals,['Voice Oohs'],,
4224,Tynchtyk,syf1,Hazuki,['Distortion Guitar'],Intermediate,3/8
4225,Metallica,Nothing Else Matters,Jason Backing Vocals,['Lead 6 (voice)'],,
4226,Lorikk,Domestic abuse funny moments #32 (please like and subscribe and hit the notification bell),Track 1,['Distortion Guitar'],Intermediate,5/8
4227,Dir En Grey,OBSCURE (Vulgar Version),Synth,['Pad 7 (halo)'],,
4228,Candlemass,Solitude,Violin effect,['String Ensemble 1'],,
4229,Ben Mason,Analogue Horror at 41.20hz,SynthBrass 1,[],,
4230,The North Star,Priceless emotions,Drawbar Organ,[],,
4231,Septicflesh,The Future Belongs To The Brave,Guitar 0,['Distortion Guitar'],Intermediate,3/8
4232,Wham!,Wake Me Up Before You Go-Go,Low Synth,['Acoustic Grand Piano'],,
4233,Opeth,Deliverance,Acoustic Grand Piano,[],,
4234,Armaggedon 0f Silentium,Христова ёлка (Маленький принц),Vocal,['Acoustic Grand Piano'],,
4235,Order Of Sin( Best Band In Universe),Middel heavy dalej,violin2,['String Ensemble 1'],,
4236,Helloween,March Of Time,Acoustic Grand Piano,[],,
4237,Fuki,Bloody Rain,Rhythm Guitar,['Distortion Guitar'],Intermediate,4/8
4238,Band Maid,YOLO (Bass And drums included),Back vocals,['Oboe'],,
4239,Lorikk,Kid named finger:,Track 1,['Distortion Guitar'],Intermediate,5/8
4240,Leprous,Contaminate Me(5 minutes),Guitar 2,['Distortion Guitar'],Intermediate,4/8
4241,Richard Bitchardsson,Bitchard Gayhardsson,Track 1,['Distortion Guitar'],Intermediate,3/8
4242,Richard Bitchardsson,Bitchard Gayhardsson,Track 1,['Pizzicato Strings'],,
4243,Richard Bitchardsson,Bitchard Gayhardsson,Track 1,['String Ensemble 1'],,
4244,Richard Bitchardsson,Bitchard Gayhardsson,Track 1,['String Ensemble 1'],,
4245,Ben Mason,Synth Solo,Lead Synthesizer,['Lead 7 (fifths)'],,
4246,Toto,Rosanna,Acoustic Grand Piano,[],,
4247,Nig,Niggersson,Track 1,['Overdriven Guitar'],Intermediate,3/8
4248,Marduk,Bleached Bones,Guitar 1,['Distortion Guitar'],Intermediate,3/8
4249,Sabaton,Inmate 4859,Solo Guitar,['Distortion Guitar'],Intermediate,4/8
4250,Bradly Hall,Solo with FEELING!,Strings,['String Ensemble 1'],,
4251,Los Prisioneros,Sexo,Coros (Claudio/Miguel),['SynthStrings 1'],,
4252,Decharot,The Harvest II,Artun Ereren (Rhythm),['Distortion Guitar'],Intermediate,4/8
4253,Aethereus,Endless Cycle of Rebirth,Acoustic Piano,['Acoustic Grand Piano'],,
4254,Scoredatura,Kanangra (not completed),Distortion Guitar 1,[],Intermediate,3/8
4255,Architects,Animals,Organ (Staff 1),['Drawbar Organ'],,
4256,Not Animals As Leaders,Cylindrical Sea,Support Guitar,['Electric Guitar (clean)'],Intermediate,5/8
4257,Dream Theater,The Great Debate,Keyboard,['Pad 8 (sweep)'],,
4258,Tom Donahue,Avengers: Infinity War,Acoustic Grand Piano,[],,
4259,Mushroomhead,Our Own Way,Pista 6,['Acoustic Grand Piano'],,
4260,No One,Cattle Decap Progress #1,Distortion Guitar,[],Intermediate,3/8
4261,Continuous Atrocities Against The Condemned Species For The Purpose Of Self-Preservation From The Inevitable Consequences Of Playing God Infront The Sights Of Nature And Existance,"Colossal Amounts Of Raw And Lumpy Vomit, Brownish And Foul Urine, Heterogeneous And Multi-Coloured Sewage, Excrement In Different Sorts Of Matter, Yellowish And Flaky Sweat, Crystal Clear And Creamy Semen, Musky And Bitter Rotten-Egg-Sclera Mixture",Distortion Guitar 2,[],Advanced,8/8
4262,4 Non Blondes,What's Up? G maj,głos,['Choir Aahs 2'],,
4263,Jason Becker,Air,Synth,['Music Box'],,
4264,Jason Becker,Air - Guitar 2,Synth,['Music Box'],,
4265,Not Animals As Leaders,Lippincott,Lead Guitar,['Electric Guitar (clean)'],Intermediate,4/8
4266,Slaver,Реквием,Choir Aahs,[],,
4267,Event Horizon,Waltz,Distortion Guitar 2,[],Intermediate,3/8
4268,Jason Tai,Queensland,Atmosphere,"['Piano (L. H.)', 'FX 4 (atmosphere)']",,
4269,Dream Theater,Scarred,Kevin Moore,['Tremolo Strings'],,
4270,CKY (Camp Kill Yourself),96 Quite Bitter Beings,Deron Miller ,['Voice Oohs'],,
4271,Jason Tai,Into Londerland,Bright Piano,['Bright Acoustic Piano'],,
4272,Asking Alexandria,To The Stage,Strings,['String Ensemble 1'],,
4273,Slaver,Funeral Tombs,Reverse Cymbal,[],,
4274,Nemophila,REVIVE,SAKI,['Distortion Guitar'],Intermediate,4/8
4275,Tynchtyk,r4,Hazuki,['Distortion Guitar'],Intermediate,4/8
4276,Babymetal,Pa Pa Ya,Guitar I,['Distortion Guitar'],Intermediate,3/8
4277,Muth,transgenesis,Distortion Guitar 1,[],Intermediate,4/8
4278,Nina Simone,My babe just cares for me,Acoustic Grand Piano 2,[],,
4279,Seba & The Homeless,Moja Schizofrenio,Synthesizer (Staff 2),['Pad 2 (warm)'],,
4280,Interflow,Involuntary Doppelgänger,Extra Guitar,['Distortion Guitar'],Intermediate,4/8
4281,Archspire,Doppelgänger,Track 2,['Distortion Guitar'],Advanced,6/8
4282,Merten,Heartbreak,Track 5,['Distortion Guitar'],Intermediate,3/8
4283,Beyond The Black,Hallelujah,Lead Guitar,['Distortion Guitar'],Intermediate,3/8
4284,Muse,The Small Print (Horsemeat Remake),Vocals,['Lead 2 (sawtooth)'],,
4285,Queen,Bohemian Rhapsody,Freddie,"['Piano (RH)', 'Bright Acoustic Piano']",,
4286,Metallica,Orion,Bass Distortion Effect I,['Distortion Guitar'],Beginner,2/8
4287,Muse,Hysteria,Chris Wolstenholm,"['Bass Effects 1', 'Distortion Guitar']",Intermediate,4/8
4288,Journey,Don't Stop Believin',Piano Bass (Jonathan Cain),['Acoustic Grand Piano'],,
4289,Oasis,Wonderwall,Noel Gallagher -Acoustic Guitar,['Acoustic Guitar (steel)'],Intermediate,3/8
4290,Childish Gambino,Redbone,Synth Bass,['SynthStrings 1'],,
4291,Metallica,"Damage, Inc",Intro Bass ,['Distortion Guitar'],Intermediate,3/8
4292,Europe,The Final Countdown,Mic Michaeli (Keyboard Overdub I),['Lead 2 (sawtooth)'],,
4293,Black Sabbath,NIB,Overdriven Bass Effect,['Overdriven Guitar'],Intermediate,3/8
4294,Muse,Knights Of Cydonia,Keyboards,['Lead 2 (sawtooth)'],,
4295,Slipknot,Duality,Craig Jones,['Acoustic Grand Piano'],,
4296,Metallica,Spit Out The Bone,Distorted Bass Effect,['Distortion Guitar'],Intermediate,3/8
4297,Arctic Monkeys,R U Mine?,Overdriven Bass Effect,['Overdriven Guitar'],Intermediate,4/8
4298,The Beatles,Here Comes The Sun,Cello,[],,
4299,Misc Computer Games - Team Fortress 2,MEDIC!,Tuba,[],,
4300,Mental Fog,Golden Brown (Stranglers Cover),Chorus Bass,['FX 8 (sci-fi)'],,
4301,José Madero,Noche de Baile,Contrabajo,['Contrabass'],,
4302,David Bowie,Moonage Daydream,Mick Ronson,"['Piano LH', 'Bright Acoustic Piano']",,
4303,Poppy Playtime,It's Playtime (Guitar Version),Contrabass,[],,
4304,Poppy Playtime - Chapter 1,It's Playtime,Contrabass,[],,
4305,Maneskin,Supermodel,Damiano David,"['Lyrics (Staff 2)', 'Trumpet']",,
4306,Sex Pistols,Friggin' in the Riggin',Tuba 2,['Tuba'],,
4307,Two Steps From Hell,Victory (piano),Acoustic Grand Piano,[],,
4308,Martin Odonnell,Covenant Dance (Guitar),Left Hand,['Distortion Guitar'],Intermediate,3/8
4309,Just Dance X Red,Already Over,Human Geyser Attack,['Drawbar Organ'],,
4310,Metallica,Seek & Destroy,Cliff Burton,"['Bass (Distortion)', 'Distortion Guitar']",Beginner,2/8
4311,S3rl,MTC (Masterbate To Cartoons),Contrabass,[],,
4312,Lemon Demon,Cabinet Man,Distorted Bass,['Distortion Guitar'],Beginner,1/8
4313,Prueba De  Ierfda,a,Synthesizer (Staff 2),['Lead 2 (sawtooth)'],,
4314,Carie,carie,Bass,['Choir Aahs'],,
4315,Dey John,Smth Long,Lead1 (Staff 2),['Lead 1 (square)'],,
4316,Misfits,Children In Heat,Jerry Only,['Distortion Guitar'],Beginner,2/8
4317,Misfits,Devilock,Jerry Only,['Overdriven Guitar'],Beginner,2/8
4318,Kirpich,2+2=5,Synthesizer (Staff 2),['Lead 1 (square)'],,
4319,The Art Of Insanity,asdorag,Track 3,['Distortion Guitar'],Intermediate,3/8
4320,Men At Work,Overkill,Track 4,['Timpani'],,
4321,Synsnake,Prism,Synth 07,['Distortion Guitar'],Beginner,2/8
4322,Efe Karatoprak,Pain,Contrabass,[],,
4323,Misfits,Bloodfeast,Jerry Only,['Distortion Guitar'],Beginner,2/8
4324,Misfits,Devils Whorehouse,Jerry Only,['Lead 8 (bass + lead)'],,
4325,Primus,John The Fisherman,Bass Distortion Effect,['Overdriven Guitar'],Intermediate,3/8
4326,Primal Karnage,Selected for Extinction,Contrabass,[],,
4327,Tk From Ling Tosite Sigure,katharsis,Synthesizer (Staff 2),['Pad 8 (sweep)'],,
4328,Wooden People (Self-Titled),Pax Romana,Contrabass,[],,
4329,Wooden People (Self-Titled),Sonata in C Major,Contrabass,['String Ensemble 1'],,
4330,Проэкт,Не знать,Track 8,['Distortion Guitar'],Intermediate,3/8
4331,Rage,Fading Hours,Contrabass,[],,
4332,Flemjablorg,Untitled VIII,Fuzz Bass,['Distortion Guitar'],Intermediate,4/8
4333,Evanescence,Better without you,Distortion Guitar,[],Intermediate,3/8
4334,My Chemical Romance,The Light Behind Your Eyes,Piano 2,['Acoustic Grand Piano'],,
4335,Scorpions,Wind Of Change (rofl version + new voice guitar),Synthesizer (Staff 2),['Pad 4 (choir)'],,
4336,Pretty Little Fake,Flashbacks,Bass,['Acoustic Guitar (steel)'],Beginner,1/8
4337,Limbezz,mog2,Track 5,['Lead 8 (bass + lead)'],,
4338,Грустная Молодёжь,Только в моём сне,Distortion Bass,['Distortion Guitar'],Intermediate,3/8
4339,Van Halen,316 (Live),Low-E trem.,"['p/b', 'Distortion Guitar']",Intermediate,4/8
4340,Alloytuber,Cry! In The Abyss Part-3,Contrabass,['String Ensemble 1'],,
4341,Jean-Luc Hoareau,First Short Piece Ever Written,E.Piano (Staff 2),['Electric Grand Piano'],,
4342,Division,new,Track 5,['Lead 8 (bass + lead)'],,
4343,Limbezz,20.,Track 5,['Lead 8 (bass + lead)'],,
4344,Limbezz,20.,Track 5,['Lead 8 (bass + lead)'],,
4345,Limbezz,23232323,Track 5,['Lead 8 (bass + lead)'],,
4346,Limbezz,2022,Track 5,['Lead 8 (bass + lead)'],,
4347,Limbezz,1,Track 5,['Lead 8 (bass + lead)'],,
4348,Alloytuber,Cry! In The Abyss Part-3,Contrabass,['String Ensemble 1'],,
4349,28 Days Later,In a Heartbeat(metal cover),Contrabass,[],,
4350,28 Days Later,In the House - In a Heartbeat (metal cover),Contrabass,[],,
4351,Автоспорт,"Пожалуйста, только не домой",Synthesizer (Staff 2),['Pad 8 (sweep)'],,
4352,Avtosport,"Pozhaluysta, tolʹko ne domoy",Synthesizer (Staff 2),['Pad 8 (sweep)'],,
4353,Автоспорт,"Пожалуйста, только не домой",Synthesizer (Staff 2),['Pad 8 (sweep)'],,
4354,Автоспорт,"Пожалуйста, только не домой",Synthesizer (Staff 2),['Pad 8 (sweep)'],,
4355,Miku Hatsune,Ievans Polkka,Synth Bass,['Lead 2 (sawtooth)'],,
4356,Steven Wilson,routine,Solo Bass,['Drawbar Organ'],,
4357,Misfits,Violent World,Jerry,['Lead 8 (bass + lead)'],,
4358,Акклиматизация,Убивая себя,Pad (Staff 2),['Pad 4 (choir)'],,
4359,Mental Fog,Drought,Fuzz Bass,['Lead 5 (charang)'],,
4360,Meme School,TrueBass Test,Track 2,['Overdriven Guitar'],Beginner,1/8
4361,Meme School,EffTest 2,Track 8,['FX 8 (sci-fi)'],,
4362,Meme School,EffTest 1,Track 8,['Pad 8 (sweep)'],,
4363,Meme School,SynTest,Track 6,['Lead 6 (voice)'],,
4364,Foo Fighters,Enough Space,Nate Mendel (Distortion),['Distortion Guitar'],Beginner,2/8
4365,Koji Kondo,Super Mario World - Game Over,Piano (Bass),['Acoustic Grand Piano'],,
4366,Çekmecedeki Piller,Babannemin Dübürü,Contrabass,[],,
4367,Red Hot Chili Peppers,Californication (Live),sound,['Electric Guitar (clean)'],Beginner,2/8
4368,Red Hot Chili Peppers,Around The World (Live),Flea,['Overdriven Guitar'],Intermediate,4/8
4369,Агата Кристи,Пуля,Track 1,['Lead 8 (bass + lead)'],,
4370,Sid Vicious,my way,Cello,['Acoustic Guitar (steel)'],Beginner,2/8
4371,Muse,Hysteria (Colbertfest 2023),Distortion Bass,['Distortion Guitar'],Intermediate,3/8
4372,Чиж & Co,О любви (full),Фоно б.к.,['Electric Grand Piano'],,
4373,Genesis,Harold The Barre,Tony Banks,"['Piano LH', 'Acoustic Grand Piano']",,
4374,Dd,dd erup bass tapping,Track 1,['Acoustic Grand Piano'],,
4375,Bleed From Within,Levitate,Contrabass,['String Ensemble 1'],,
4376,Devil Cross,Dirty Diana,Rowanna TYM (Keys),['FX 5 (brightness)'],,
4377,Confession Session,Red Pill,Synthesizer,"['Unknown (Staff 2)', 'Pad 1 (new age)']",,
4378,Csakos1337,pixalami,Contrabass,[],,
4379,Lorna Shore,Sun//Eater,Contrabass,['Distortion Guitar'],Beginner,2/8
4380,Not Meshuggah,StingUu,Acoustic Guitar (nylon),[],Beginner,1/8
4381,Tommy Sparks,Smooth Criminal,Keyboard,['Percussive Organ'],,
4382,Linkin Park,Wastelands,J. Hahn (Synthesizer) (Staff 2),['FX 7 (echoes)'],,
4383,Nickelback,Home,Strings,['String Ensemble 2'],,
4384,Metallica,For Whom The Bell Tolls,Cliff Burton (Tapped Harmonics),['Distortion Guitar'],Intermediate,3/8
4385,Антон,яковлев2,Track 4,['Acoustic Guitar (steel)'],Beginner,2/8
4386,The Longest Johns,Wellerman Official,Vocals (Bass),['Bassoon'],,
4387,Bl4ck Dr4g0n,The Final Countdown,CG5 (Keyboard Overdub I),['Lead 3 (calliope)'],,
4388,Fng,tunnel rat(2022),Track 3,['Distortion Guitar'],Advanced,8/8
4389,Eric Clapton,wonderful tonigth,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
4390,Fng,Tunnel Rats,Track 3,['Distortion Guitar'],Advanced,8/8
4391,Blank Signs,Entity/Two,Choir,['Lead 6 (voice)'],,
4392,Mental Fog,Summertime Blues,Bass,['Electric Guitar (clean)'],Intermediate,3/8
4393,Tom Donahue,Lisztomania,Bass,['Overdriven Guitar'],Beginner,2/8
4394,Blink-182,Bored To Death,Studio,['Acoustic Grand Piano'],,
4395,System of a Down,Chop Suey!,Strings 2,['Contrabass'],,
4396,Bkmz,popsik,Synthesizer,['Pad 3 (polysynth)'],,
4397,ДДТ,Адам и Ева,Bass,['Acoustic Guitar (steel)'],Intermediate,3/8
4398,Misfits,Descending Angel,Dr. Chud (Backing Piano) (Staff 2),['Lead 6 (voice)'],,
4399,HIM,Join Me Drum,Bass Drum,['Drums'],,
4400,The Rolling Stones,Honky Tonk Women,Brass Section 2,['Alto Sax'],,
4401,Mud Creek,Tear Me Down,Synthesizer (Staff 2),['Lead 1 (square)'],,
4402,Cliff Burton,"Cliff Burton Solo From The Stone, San Francisco (Tabbed Out by Andriy Vasylenko)",Cliff Burton,['Distortion Guitar'],Intermediate,4/8
4403,Creatures Of Furkahn,Hope,Synthesizer (Staff 2),['FX 6 (goblins)'],,
4404,Black Label Society,Born To Lose,Zakk Wylde Distorted Bass,['Distortion Guitar'],Intermediate,3/8
4405,Mental Five,Golden Brown (Stranglers Cover) (θ),Fuzz Bass,['Lead 8 (bass + lead)'],,
4406,Zigzag,Prueba,Contrabass,[],,
4407,Alavantrum,Aggression,Ally,"['Fuzz Bass', 'Distortion Guitar']",Intermediate,3/8
4408,Dd,dd copie,bass distortion,['Distortion Guitar'],Intermediate,4/8
4409,Goodbye Angels,Red Hot Chili Peppers,Flea distorted bass,['Distortion Guitar'],Intermediate,4/8
4410,Glowen,Chocolate,Synthesizer (Staff 2),['Lead 6 (voice)'],,
4411,Tesuto,I H E A R Y O U B R E A T H E,Track 5,['Drawbar Organ'],,
4412,Creatures Of Furkahn,Creature 5,Echoes (Staff 2),['FX 7 (echoes)'],,
4413,Creatures Of Furkahn,Swan,Choir (Staff 2),['Pad 4 (choir)'],,
4414,Meme School,Bass Tests,Track 4,['Lead 2 (sawtooth)'],,
4415,Mental Five,Summertime Blues,Bass,['Overdriven Guitar'],Intermediate,3/8
4416,The Beatles,When I'm Sixty Four,Track 5,['Acoustic Grand Piano'],,
4417,J. S. Bach,BWV 971 Italian concerto,bass,['Acoustic Grand Piano'],,
4418,Bayless,Game Over,Synthesizer (Staff 2),['Lead 1 (square)'],,
4419,++__+_+_+_+_+_+_+_+_+_+_,sergswfesfwesfsefsefes,Synthesizer (Staff 2),['Pad 3 (polysynth)'],,
4420,Mental Five,Drought (μ),Fuzz Bass,['Lead 2 (sawtooth)'],,
4421,Mental Five,Mono No Aware (γ),Fuzz Bass,['Lead 2 (sawtooth)'],,
4422,L.A.B,T.P.,Tommy OD,['Harpsichord'],,
4423,Tally Hall,Spring and a Storm,Joe Hawley,"['Vocals (Moon)', 'Lead 1 (square)']",,
4424,Король и Шут,Молотов (Instrumental),Bass (Clean),['Electric Guitar (clean)'],Intermediate,3/8
4425,Kurb,Bleeding,Synthesizer (Staff 2),['Lead 1 (square)'],,
4426,Max Romeo,Chase The Devil,Bass,['Acoustic Guitar (steel)'],Intermediate,3/8
4427,Slaver,Scorpion,Bass dist.,['Distortion Guitar'],Intermediate,4/8
4428,Lego Boy,The Return 2,Contrabass,[],,
4429,Бас,The Call Of Ktulu bass intro 3,Lead Bass,['Distortion Guitar'],Intermediate,4/8
4430,Бас,The Call Of Ktulu bass intro 3,Lead Bass,['Distortion Guitar'],Intermediate,4/8
4431,Бас,The Call Of Ktulu bass intro 3,Lead Bass,['Distortion Guitar'],Intermediate,4/8
4432,Бас,The Call Of Ktulu bass intro 3,Lead Bass,['Distortion Guitar'],Intermediate,4/8
4433,Бас,The Call Of Ktulu bass intro 3,Lead Bass,['Distortion Guitar'],Intermediate,4/8
4434,Mental Fog,Mono No Aware,Fuzz Bass,['Lead 2 (sawtooth)'],,
4435,Бас,The Call Of Ktulu bass intro 2,Lead Bass,['Distortion Guitar'],Intermediate,4/8
4436,Babymetal,Megitsune,Shamisen,[],,
4437,Tesuto,D O Y O U W A N T I T A L L,Track 6,['Lead 2 (sawtooth)'],,
4438,Mros Principium Est,Master of the Dead,Electric Bass,['Distortion Guitar'],Intermediate,3/8
4439,The Move,Brontosaurus,Cello 2,[],,
4440,King Crimson,Red,John Wetton,"['Lead Bass', 'Overdriven Guitar']",Intermediate,3/8
4441,King Crimson,Fallen Angel,Uncredited,"['Cello', 'Cello']",,
4442,System of a Down,Chop Suey! (5 str. bass),Piano LH,['Acoustic Grand Piano'],,
4443,Tera Melos,Trash Generator,Nate,['Tuba'],,
4444,Copperhead,Long Way From Home,Bass 1,['Acoustic Guitar (steel)'],Intermediate,3/8
4445,The Legend Of Zelda,Hyrule Castle (Twilight Princess),Bass,['Cello'],,
4446,Panda,Fascinante,xd,['Voice Oohs'],,
4447,Bruce Springsteen,Born To Run,Bass,['Harmonica'],,
4448,Slaver,Браво,Бас,['Electric Guitar (clean)'],Intermediate,3/8
4449,Koji Kondo,Twilight Princess Battle,Contrabass 1,[],,
4450,Slaver,Abadon,Bass Distortion,['Distortion Guitar'],Intermediate,3/8
4451,Meshuggah,Bleed but Every Instrument is Out of Key and Off Tempo,Out-of-Tune Guitar 2,['Distortion Guitar'],Intermediate,4/8
4452,Metallica,Cliff Burton 1985 Bass Solo,Electric Bass,['Distortion Guitar'],Intermediate,5/8
4453,King Crimson,Epitaph,Michael Giles,"['Timpani', 'Timpani']",,
4454,Tomaco,Scrambler,Track 4,['Overdriven Guitar'],Intermediate,3/8
4455,Mis Kcaj,Done Done,Contrabass,[],,
4456,Flying,Targetheart,Клавиши,['Pad 4 (choir)'],,
4457,Rush,Xanadu,Geddy Lee,"['Bass Pedals', 'Lead 8 (bass + lead)']",,
4458,Rush,Distant Early Warning,Taurus Pedals,['Lead 1 (square)'],,
4459,Indet.,Night Rabbit,Vocals,['Electric Piano 1'],,
4460,Doom( Metal),At Doom Gate,Electric Bass,['Distortion Guitar'],Intermediate,3/8
4461,Metallica,Orion (Short Version),Bass Distortion Effect II,['Distortion Guitar'],Intermediate,3/8
4462,Rush,The Camera Eye,Lead 8 (bass + lead),[],,
4463,Metallica,Seek & Destroy (Short Version),Cliff Burton,"['Bass (Distortion)', 'Distortion Guitar']",Intermediate,3/8
4464,Mimi Ft. Hatsune Miku,Marshmary,Bass,['Electric Guitar (clean)'],Intermediate,3/8
4465,Untitled,Whole Lotta Jazz,Trombone,[],,
4466,Unknown Artist,Whole Lotta Jazz,Trombone,[],,
4467,Fsfsdf,fdsfsdfsdf,Synth LH,['String Ensemble 1'],,
4468,Lana Del Rey,Freak,SYN BASS 1,['Lead 6 (voice)'],,
4469,Jonathan Sefcik,New Untitled Bass Song Ideas,Bass Duplicate,['Electric Guitar (jazz)'],Intermediate,4/8
4470,Genesis,Entangled,Mike Rutherford,"['Bass Pedals', 'Lead 8 (bass + lead)']",,
4471,Genesis,Supper's Ready,Mike Rutherford,"['Bass Pedal/Cello', 'Lead 8 (bass + lead)']",,
4472,Metallica,The Call Of Ktulu,Cliff Burton (distortion + wah),['Distortion Guitar'],Intermediate,3/8
4473,Jonathan Sefcik,Great Bass Warm Ups,Track 6,['Electric Guitar (jazz)'],Intermediate,5/8
4474,Shadow Creatures,Demo ( Track ),Track 2,['Acoustic Guitar (steel)'],Intermediate,4/8
4475,Ween,I'll Be Your Jonny on the Spot,Orchestra Hit,[],,
4476,Judas Priest,Love Bites,Synth Drum,[],,
